RC-934R,POWER,4B36D32C,"{0x4B, 0x36, 0xD3, 0x2C}, // RC-934R POWER"
RC-934R,BD/DVD,4B3631CE,"{0x4B, 0x36, 0x31, 0xCE}, // RC-934R BD/DVD"
RC-934R,GAME,4BB6B04F,"{0x4B, 0xB6, 0xB0, 0x4F}, // RC-934R GAME"
RC-934R,CBL/SAT,4BB6708F,"{0x4B, 0xB6, 0x70, 0x8F}, // RC-934R CBL/SAT"
RC-934R,STRMBOX,4BB630CF,"{0x4B, 0xB6, 0x30, 0xCF}, // RC-934R STRMBOX"
RC-934R,CD,4BB6906F,"{0x4B, 0xB6, 0x90, 0x6F}, // RC-934R CD"
RC-934R,TV,4BB612ED,"{0x4B, 0xB6, 0x12, 0xED}, // RC-934R TV"
RC-934R,PHONO,4BB650AF,"{0x4B, 0xB6, 0x50, 0xAF}, // RC-934R PHONO"
RC-934R,USB,4B357986,"{0x4B, 0x35, 0x79, 0x86}, // RC-934R USB"
RC-934R,BT,4B780A70,"{0x4B, 0x78, 0x0A, 0x70}, // RC-934R BT"
RC-934R,TUNER,4BB6D02F,"{0x4B, 0xB6, 0xD0, 0x2F}, // RC-934R TUNER"
RC-934R,NET,4B40E11E,"{0x4B, 0x40, 0xE1, 0x1E}, // RC-934R NET"
RC-934R,DIMMER,4BB6A956,"{0x4B, 0xB6, 0xA9, 0x56}, // RC-934R DIMMER"
RC-934R,QUICK MENU,4B36CA35,"{0x4B, 0x36, 0xCA, 0x35}, // RC-934R QUICK MENU"
RC-934R,INFO,4B36AA55,"{0x4B, 0x36, 0xAA, 0x55}, // RC-934R INFO"
RC-934R,CONFIG,4B36DB24,"{0x4B, 0x36, 0xDB, 0x24}, // RC-934R CONFIG"
RC-934R,BACK,4B362AD5,"{0x4B, 0x36, 0x2A, 0xD5}, // RC-934R BACK"
RC-934R,UP,4BB641BE,"{0x4B, 0xB6, 0x41, 0xBE}, // RC-934R UP"
RC-934R,DOWN,4BB6C13E,"{0x4B, 0xB6, 0xC1, 0x3E}, // RC-934R DOWN"
RC-934R,LEFT,4BB621DE,"{0x4B, 0xB6, 0x21, 0xDE}, // RC-934R LEFT"
RC-934R,RIGHT,4BB6A15E,"{0x4B, 0xB6, 0xA1, 0x5E}, // RC-934R RIGHT"
RC-934R,ENTER,4BB6E916,"{0x4B, 0xB6, 0xE9, 0x16}, // RC-934R ENTER"
RC-934R,VOL +,4BB640BF,"{0x4B, 0xB6, 0x40, 0xBF}, // RC-934R VOL +"
RC-934R,VOL -,4BB6C03F,"{0x4B, 0xB6, 0xC0, 0x3F}, // RC-934R VOL -"
RC-934R,MUTE,4BB6A05F,"{0x4B, 0xB6, 0xA0, 0x5F}, // RC-934R MUTE"
RC-934R,MOVIE/TV,4B350BF4,"{0x4B, 0x35, 0x0B, 0xF4}, // RC-934R MOVIE/TV"
RC-934R,MUSIC,4B358B74,"{0x4B, 0x35, 0x8B, 0x74}, // RC-934R MUSIC"
RC-934R,GAME,4B354BB4,"{0x4B, 0x35, 0x4B, 0xB4}, // RC-934R GAME"
RC-934R,|<<,4B4009F6,"{0x4B, 0x40, 0x09, 0xF6}, // RC-934R |<<"
RC-934R,|>/||,4B983AC5,"{0x4B, 0x98, 0x3A, 0xC5}, // RC-934R |>/||"
RC-934R,>>|,4B40F10E,"{0x4B, 0x40, 0xF1, 0x0E}, // RC-934R >>|"
RC-934R,REPEAT,4B98FA05,"{0x4B, 0x98, 0xFA, 0x05}, // RC-934R REPEAT"
RC-934R,MEMORY,4B404BB4,"{0x4B, 0x40, 0x4B, 0xB4}, // RC-934R MEMORY"
RC-934R,MODE,4B40CB34,"{0x4B, 0x40, 0xCB, 0x34}, // RC-934R MODE"
RS-CD6T,OPEN/CLOSE,9E61807F,"{0x9E, 0x61, 0x80, 0x7F}, // RS-CD6T OPEN/CLOSE"
RS-CD6T,TAPE,9E61EA15,"{0x9E, 0x61, 0xEA, 0x15}, // RS-CD6T TAPE"
RS-CD6T,MAN’L,9E6130CF,"{0x9E, 0x61, 0x30, 0xCF}, // RS-CD6T MAN’L"
RS-CD6T,DEL,9E61708F,"{0x9E, 0x61, 0x70, 0x8F}, // RS-CD6T DEL"
RS-CD6T,AUTO,9E61D827,"{0x9E, 0x61, 0xD8, 0x27}, // RS-CD6T AUTO"
RS-CD6T,CANCEL,9E61B04F,"{0x9E, 0x61, 0xB0, 0x4F}, // RS-CD6T CANCEL"
RS-CD6T,Hi-Bit DIRECT CUT,9E611AE5,"{0x9E, 0x61, 0x1A, 0xE5}, // RS-CD6T Hi-Bit DIRECT CUT"
RS-CD6T,+10,9E6158A7,"{0x9E, 0x61, 0x58, 0xA7}, // RS-CD6T +10"
RS-CD6T,0,9E6108F7,"{0x9E, 0x61, 0x08, 0xF7}, // RS-CD6T 0"
RS-CD6T,1,9E618877,"{0x9E, 0x61, 0x88, 0x77}, // RS-CD6T 1"
RS-CD6T,2,9E6148B7,"{0x9E, 0x61, 0x48, 0xB7}, // RS-CD6T 2"
RS-CD6T,3,9E61C837,"{0x9E, 0x61, 0xC8, 0x37}, // RS-CD6T 3"
RS-CD6T,4,9E6128D7,"{0x9E, 0x61, 0x28, 0xD7}, // RS-CD6T 4"
RS-CD6T,5,9E61A857,"{0x9E, 0x61, 0xA8, 0x57}, // RS-CD6T 5"
RS-CD6T,6,9E616897,"{0x9E, 0x61, 0x68, 0x97}, // RS-CD6T 6"
RS-CD6T,7,9E61E817,"{0x9E, 0x61, 0xE8, 0x17}, // RS-CD6T 7"
